"region","år",Förvärvsarbetande 16+ år med bostad i regionen (nattbefolkning) (RAMS)
"0860 Hultsfred","2016",6106
"0860 Hultsfred","2017",6180
"0861 Mönsterås","2008",6155
"0861 Mönsterås","2009",5841
"0861 Mönsterås","2010",5958
"0861 Mönsterås","2011",6007
"0861 Mönsterås","2012",5998
"0861 Mönsterås","2013",6040
"0861 Mönsterås","2014",5994
"0861 Mönsterås","2015",6059
"0861 Mönsterås","2016",6166
"0861 Mönsterås","2017",6176
"0862 Emmaboda","2008",4315
"0862 Emmaboda","2009",4131
"0862 Emmaboda","2010",4178
"0862 Emmaboda","2011",4237
"0862 Emmaboda","2012",4176
"0862 Emmaboda","2013",4135
"0862 Emmaboda","2014",4151
"0862 Emmaboda","2015",4139
"0862 Emmaboda","2016",4198
"0862 Emmaboda","2017",4263
"0880 Kalmar","2008",29900
"0880 Kalmar","2009",29335
"0880 Kalmar","2010",30317
"0880 Kalmar","2011",30640
"0880 Kalmar","2012",31092
"0880 Kalmar","2013",31239
"0880 Kalmar","2014",31473
"0880 Kalmar","2015",32241
"0880 Kalmar","2016",33053
"0880 Kalmar","2017",33697
"0881 Nybro","2008",8959
"0881 Nybro","2009",8505
"0881 Nybro","2010",8774
"0881 Nybro","2011",8955
"0881 Nybro","2012",8892
"0881 Nybro","2013",8979
"0881 Nybro","2014",8911
"0881 Nybro","2015",8898
"0881 Nybro","2016",8983
"0881 Nybro","2017",9108
"0882 Oskarshamn","2008",12902
"0882 Oskarshamn","2009",12515
